DBA,Organization,CIDR,bits,net
ATT,AT&T Corp.,71.136.128.0/17,17,71.136.128.0/17
ATT,AT&T Corp.,71.137.128.0/17,17,71.137.128.0/17
ATT,AT&T Corp.,71.137.64.0/18,18,71.137.64.0/18
ATT,AT&T Corp.,71.138.0.0/15,15,71.138.0.0/15
ATT,AT&T Corp.,71.140.0.0/16,16,71.140.0.0/16
ATT,AT&T Corp.,71.141.192.0/18,18,71.141.192.0/18
ATT,AT&T Corp.,71.142.0.0/16,16,71.142.0.0/16
ATT,AT&T Corp.,71.143.128.0/17,17,71.143.128.0/17
ATT,AT&T Corp.,71.143.64.0/18,18,71.143.64.0/18
ATT,AT&T Corp.,71.144.0.0/16,16,71.144.0.0/16
ATT,AT&T Corp.,71.145.0.0/17,17,71.145.0.0/17
ATT,AT&T Corp.,71.145.192.0/18,18,71.145.192.0/18
ATT,AT&T Corp.,71.146.0.0/15,15,71.146.0.0/15
ATT,AT&T Corp.,71.148.0.0/14,14,71.148.0.0/14
ATT,AT&T Corp.,74.164.0.0/14,14,74.164.0.0/14
ATT,AT&T Corp.,74.168.0.0/13,13,74.168.0.0/13
ATT,AT&T Corp.,74.180.0.0/14,14,74.180.0.0/14
ATT,AT&T Corp.,74.184.0.0/13,13,74.184.0.0/13
ATT,AT&T Corp.,75.0.0.0/15,15,75.0.0.0/15
ATT,AT&T Corp.,75.16.0.0/14,14,75.16.0.0/14
ATT,AT&T Corp.,75.20.0.0/15,15,75.20.0.0/15
ATT,AT&T Corp.,75.22.0.0/17,17,75.22.0.0/17
ATT,AT&T Corp.,75.22.128.0/18,18,75.22.128.0/18
ATT,AT&T Corp.,75.23.0.0/16,16,75.23.0.0/16
ATT,AT&T Corp.,75.24.0.0/13,13,75.24.0.0/13
ATT,AT&T Corp.,75.3.192.0/18,18,75.3.192.0/18
ATT,AT&T Corp.,75.3.64.0/18,18,75.3.64.0/18
ATT,AT&T Corp.,75.32.0.0/13,13,75.32.0.0/13
ATT,AT&T Corp.,75.4.0.0/14,14,75.4.0.0/14
ATT,AT&T Corp.,75.40.0.0/14,14,75.40.0.0/14
ATT,AT&T Corp.,75.44.0.0/16,16,75.44.0.0/16
ATT,AT&T Corp.,75.45.0.0/17,17,75.45.0.0/17
ATT,AT&T Corp.,75.47.192.0/18,18,75.47.192.0/18
ATT,AT&T Corp.,75.48.0.0/12,12,75.48.0.0/12
ATT,AT&T Corp.,75.8.0.0/13,13,75.8.0.0/13
ATT,AT&T Corp.,76.192.0.0/14,14,76.192.0.0/14
ATT,AT&T Corp.,76.196.0.0/16,16,76.196.0.0/16
ATT,AT&T Corp.,76.197.0.0/17,17,76.197.0.0/17
ATT,AT&T Corp.,76.197.192.0/18,18,76.197.192.0/18
ATT,AT&T Corp.,76.198.0.0/15,15,76.198.0.0/15
ATT,AT&T Corp.,76.200.0.0/14,14,76.200.0.0/14
ATT,AT&T Corp.,76.204.0.0/16,16,76.204.0.0/16
ATT,AT&T Corp.,76.205.0.0/18,18,76.205.0.0/18
ATT,AT&T Corp.,76.205.128.0/17,17,76.205.128.0/17
ATT,AT&T Corp.,76.206.0.0/15,15,76.206.0.0/15
ATT,AT&T Corp.,76.208.0.0/15,15,76.208.0.0/15
ATT,AT&T Corp.,76.210.0.0/16,16,76.210.0.0/16
ATT,AT&T Corp.,76.211.128.0/17,17,76.211.128.0/17
ATT,AT&T Corp.,76.211.64.0/18,18,76.211.64.0/18
ATT,AT&T Corp.,76.212.0.0/14,14,76.212.0.0/14
ATT,AT&T Corp.,76.216.0.0/14,14,76.216.0.0/14
ATT,AT&T Corp.,76.220.0.0/15,15,76.220.0.0/15
ATT,AT&T Corp.,76.222.0.0/16,16,76.222.0.0/16
ATT,AT&T Corp.,76.223.192.0/18,18,76.223.192.0/18
ATT,AT&T Corp.,76.224.0.0/13,13,76.224.0.0/13
ATT,AT&T Corp.,76.232.0.0/14,14,76.232.0.0/14
ATT,AT&T Corp.,76.236.0.0/15,15,76.236.0.0/15
ATT,AT&T Corp.,76.238.128.0/17,17,76.238.128.0/17
ATT,AT&T Corp.,76.238.64.0/18,18,76.238.64.0/18
ATT,AT&T Corp.,76.239.0.0/16,16,76.239.0.0/16
ATT,AT&T Corp.,76.240.0.0/16,16,76.240.0.0/16
ATT,AT&T Corp.,76.241.0.0/18,18,76.241.0.0/18
ATT,AT&T Corp.,76.241.128.0/17,17,76.241.128.0/17
ATT,AT&T Corp.,76.242.0.0/15,15,76.242.0.0/15
ATT,AT&T Corp.,76.244.0.0/14,14,76.244.0.0/14
ATT,AT&T Corp.,76.248.0.0/14,14,76.248.0.0/14
ATT,AT&T Corp.,76.252.128.0/17,17,76.252.128.0/17
ATT,AT&T Corp.,76.252.64.0/18,18,76.252.64.0/18
ATT,AT&T Corp.,76.253.0.0/16,16,76.253.0.0/16
ATT,AT&T Corp.,76.254.0.0/16,16,76.254.0.0/16
ATT,AT&T Corp.,76.255.0.0/18,18,76.255.0.0/18
ATT,AT&T Corp.,76.255.128.0/17,17,76.255.128.0/17
ATT,AT&T Corp.,99.0.0.0/13,13,99.0.0.0/13
ATT,AT&T Corp.,99.10.128.0/17,17,99.10.128.0/17
ATT,AT&T Corp.,99.10.64.0/18,18,99.10.64.0/18
ATT,AT&T Corp.,99.104.0.0/16,16,99.104.0.0/16
ATT,AT&T Corp.,99.105.0.0/17,17,99.105.0.0/17
ATT,AT&T Corp.,99.105.192.0/18,18,99.105.192.0/18
ATT,AT&T Corp.,99.106.0.0/15,15,99.106.0.0/15
ATT,AT&T Corp.,99.108.0.0/14,14,99.108.0.0/14
ATT,AT&T Corp.,99.11.0.0/16,16,99.11.0.0/16
ATT,AT&T Corp.,99.112.0.0/12,12,99.112.0.0/12
ATT,AT&T Corp.,99.12.0.0/14,14,99.12.0.0/14
ATT,AT&T Corp.,99.128.0.0/13,13,99.128.0.0/13
ATT,AT&T Corp.,99.136.0.0/14,14,99.136.0.0/14
ATT,AT&T Corp.,99.140.0.0/16,16,99.140.0.0/16
ATT,AT&T Corp.,99.141.128.0/17,17,99.141.128.0/17
ATT,AT&T Corp.,99.142.0.0/15,15,99.142.0.0/15
ATT,AT&T Corp.,99.144.0.0/17,17,99.144.0.0/17
ATT,AT&T Corp.,99.144.128.0/18,18,99.144.128.0/18
ATT,AT&T Corp.,99.145.0.0/16,16,99.145.0.0/16
ATT,AT&T Corp.,99.146.0.0/15,15,99.146.0.0/15
ATT,AT&T Corp.,99.148.0.0/15,15,99.148.0.0/15
ATT,AT&T Corp.,99.150.128.0/17,17,99.150.128.0/17
ATT,AT&T Corp.,99.151.0.0/18,18,99.151.0.0/18
ATT,AT&T Corp.,99.151.192.0/18,18,99.151.192.0/18
ATT,AT&T Corp.,99.152.0.0/14,14,99.152.0.0/14
ATT,AT&T Corp.,99.156.0.0/17,17,99.156.0.0/17
ATT,AT&T Corp.,99.156.128.0/18,18,99.156.128.0/18
ATT,AT&T Corp.,99.157.0.0/16,16,99.157.0.0/16
ATT,AT&T Corp.,99.158.0.0/15,15,99.158.0.0/15
ATT,AT&T Corp.,99.16.0.0/12,12,99.16.0.0/12
ATT,AT&T Corp.,99.160.0.0/12,12,99.160.0.0/12
ATT,AT&T Corp.,99.176.0.0/14,14,99.176.0.0/14
ATT,AT&T Corp.,99.180.0.0/16,16,99.180.0.0/16
ATT,AT&T Corp.,99.181.0.0/18,18,99.181.0.0/18
ATT,AT&T Corp.,99.181.128.0/17,17,99.181.128.0/17
ATT,AT&T Corp.,99.182.0.0/15,15,99.182.0.0/15
ATT,AT&T Corp.,99.184.0.0/13,13,99.184.0.0/13
ATT,AT&T Corp.,99.32.0.0/11,11,99.32.0.0/11
ATT,AT&T Corp.,99.64.0.0/13,13,99.64.0.0/13
ATT,AT&T Corp.,99.72.0.0/15,15,99.72.0.0/15
ATT,AT&T Corp.,99.74.0.0/16,16,99.74.0.0/16
ATT,AT&T Corp.,99.75.0.0/17,17,99.75.0.0/17
ATT,AT&T Corp.,99.75.128.0/18,18,99.75.128.0/18
ATT,AT&T Corp.,99.76.0.0/18,18,99.76.0.0/18
ATT,AT&T Corp.,99.76.128.0/17,17,99.76.128.0/17
ATT,AT&T Corp.,99.77.64.0/18,18,99.77.64.0/18
ATT,AT&T Corp.,99.78.64.0/18,18,99.78.64.0/18
ATT,AT&T Corp.,99.8.0.0/15,15,99.8.0.0/15
ATT,AT&T Corp.,99.82.192.0/18,18,99.82.192.0/18
ATT,AT&T Corp.,99.83.0.0/18,18,99.83.0.0/18
ATT,AT&T Corp.,99.85.0.0/17,17,99.85.0.0/17
ATT,AT&T Corp.,99.87.192.0/18,18,99.87.192.0/18
ATT,AT&T Corp.,99.88.0.0/13,13,99.88.0.0/13
ATT,AT&T Corp.,99.96.0.0/13,13,99.96.0.0/13
ATT CORP-INTRA-LEGACY T LEGAL,ATT CORP-INTRA-LEGACY T LEGAL,209.65.160.0/21,21,209.65.160.0/21
ATTCA GLMS-GRP6A,ATTCA GLMS-GRP6A,32.115.96.0/20,20,32.115.96.0/20
Abbott Laboratories,Abbott Laboratories,130.36.0.0/16,16,130.36.0.0/16
Accelerated Connections Inc.,Accelerated Connections Inc.,168.245.240.0/20,20,168.245.240.0/20
Accelerated Connections Inc.,Accelerated Connections Inc.,68.232.64.0/20,20,68.232.64.0/20
"Accertify, Inc.","Accertify, Inc.",199.189.160.0/22,22,199.189.160.0/22
Access Communications  Co-operative Limited,Access Communications  Co-operative Limited,24.72.0.0/17,17,24.72.0.0/17
Access Communications  Co-operative Limited,Access Communications  Co-operative Limited,24.72.128.0/20,20,24.72.128.0/20
Access Communications  Co-operative Limited,Access Communications  Co-operative Limited,65.87.224.0/19,19,65.87.224.0/19
Access Media,"Access Media Holdings, LLC",216.195.224.0/19,19,216.195.224.0/19
Access Media Holdings LLC,Access Media Holdings LLC,68.64.194.0/28,28,68.64.194.0/28
"Access Media Holdings, LLC","Access Media Holdings, LLC",24.219.0.0/16,16,24.219.0.0/16
"Access Media Holdings, LLC","Access Media Holdings, LLC",66.199.64.0/18,18,66.199.64.0/18
Access One,Network Device,172.81.140.0/30,30,172.81.140.0/30
Access One,Network Device,172.81.141.0/30,30,172.81.141.0/30
Access One,Network Device,172.81.142.0/30,30,172.81.142.0/30
Access One,Network Device,96.47.130.0/30,30,96.47.130.0/30
Access One,Network Device,96.47.133.0/30,30,96.47.133.0/30
Access One,Network Device,96.47.138.0/30,30,96.47.138.0/30
Access One,Network Device,96.47.139.0/30,30,96.47.139.0/30
Access One,Network Device,96.47.140.0/30,30,96.47.140.0/30
Access One,Network Device,96.47.141.0/30,30,96.47.141.0/30
Access One,Network Device,96.47.142.0/30,30,96.47.142.0/30
Access One Inc.,Access One Inc.,208.37.110.0/23,23,208.37.110.0/23
Active Visions,Active Visions,74.119.159.0/28,28,74.119.159.0/28
Acts,Acts,173.205.106.0/30,30,173.205.106.0/30
Acuity Insurance,Acuity Insurance,75.141.3.0/24,24,75.141.3.0/24
Ada S McKinley Community Services,Ada S McKinley Community Services,204.16.229.0/29,29,204.16.229.0/29
Adams 12,Adams 12,204.228.89.0/24,24,204.228.89.0/24
Adams 12,Adams 12,204.228.90.0/23,23,204.228.90.0/23
Adams 12,Adams 12,204.228.92.0/22,22,204.228.92.0/22
Adams 12,Adams 12,204.228.96.0/19,19,204.228.96.0/19
"Adams TelSystems, Inc.","Adams TelSystems, Inc.",216.138.0.0/18,18,216.138.0.0/18
"Adams TelSystems, Inc.","Adams TelSystems, Inc.",66.226.96.0/19,19,66.226.96.0/19
"Adams TelSystems, Inc.","Adams TelSystems, Inc.",75.98.176.0/20,20,75.98.176.0/20
Adamswells Internet,Adamswells Internet,64.20.64.0/20,20,64.20.64.0/20
Adamswells Internet,Adamswells Internet,66.18.176.0/20,20,66.18.176.0/20
